,latitude,longitude,recorded_timestamp
0,13.779774,100.501038,2022-05-14 16:48:52
1,13.781321,100.501709,2022-05-14 16:53:57
2,13.784236,100.503242,2022-05-14 17:03:51
3,13.785642,100.504082,2022-05-14 17:08:58
4,13.786935,100.505074,2022-05-14 17:13:58
5,13.788244,100.506317,2022-05-14 17:18:59
6,13.789608,100.507576,2022-05-14 17:24:00
7,13.790833,100.508827,2022-05-14 17:29:01
8,13.791949,100.509888,2022-05-14 17:34:01
9,13.793074,100.51091,2022-05-14 17:39:02
10,13.794242,100.511948,2022-05-14 17:44:02
11,13.795254,100.512634,2022-05-14 17:49:05
12,13.796207,100.513222,2022-05-14 17:54:05
13,13.797785,100.514214,2022-05-14 18:04:05
14,13.798601,100.514641,2022-05-14 18:09:08
15,13.799396,100.514999,2022-05-14 18:14:08
16,13.800212,100.51535,2022-05-14 18:19:09
17,13.80103,100.515686,2022-05-14 18:24:09
18,13.802002,100.515976,2022-05-14 18:29:10
19,13.802743,100.516335,2022-05-14 18:34:10
20,13.803479,100.516541,2022-05-14 18:39:05
21,13.804387,100.516739,2022-05-14 18:44:08
22,13.804973,100.516853,2022-05-14 18:49:05
23,13.805977,100.516853,2022-05-14 18:54:11
24,13.806983,100.516876,2022-05-14 18:59:11
25,13.807969,100.516853,2022-05-14 19:04:11
26,13.808939,100.516762,2022-05-14 19:09:05
27,13.809884,100.516586,2022-05-14 19:14:12
28,13.810794,100.516289,2022-05-14 19:19:12
29,13.81175,100.515778,2022-05-14 19:24:12
30,13.812511,100.515205,2022-05-14 19:29:13
31,13.813088,100.514389,2022-05-14 19:34:15
32,13.813627,100.513824,2022-05-14 19:39:14
33,13.814047,100.513016,2022-05-14 19:44:13
34,13.814393,100.512138,2022-05-14 19:49:15
35,13.814647,100.511353,2022-05-14 19:54:15
36,13.814927,100.510498,2022-05-14 19:59:15
37,13.815141,100.509636,2022-05-14 20:04:17
38,13.815521,100.508774,2022-05-14 20:09:21
39,13.815871,100.507927,2022-05-14 20:14:20
40,13.816229,100.507156,2022-05-14 20:19:25
41,13.816404,100.506111,2022-05-14 20:24:21
42,13.816692,100.505554,2022-05-14 20:29:21
43,13.817093,100.505043,2022-05-14 20:34:15
44,13.817494,100.504608,2022-05-14 20:39:22
45,13.817767,100.504211,2022-05-14 20:44:16
46,13.818111,100.503929,2022-05-14 20:49:23
47,13.818237,100.503815,2022-05-14 20:54:24
48,13.8183,100.503853,2022-05-14 20:59:24
49,13.818263,100.503998,2022-05-14 21:04:24
50,13.818093,100.504227,2022-05-14 21:09:24
51,13.817767,100.504631,2022-05-14 21:14:28
52,13.817427,100.50518,2022-05-14 21:19:21
53,13.817149,100.50589,2022-05-14 21:24:28
54,13.816955,100.506645,2022-05-14 21:29:30
55,13.816889,100.507439,2022-05-14 21:34:30
56,13.816806,100.508018,2022-05-14 21:39:31
57,13.816786,100.508537,2022-05-14 21:44:31
58,13.816824,100.509026,2022-05-14 21:49:31
59,13.816867,100.509338,2022-05-14 21:54:36
60,13.816893,100.509537,2022-05-14 21:59:38
61,13.817023,100.509697,2022-05-14 22:04:55
62,13.816932,100.509682,2022-05-14 22:10:34
63,13.816788,100.509674,2022-05-14 22:15:09
64,13.816956,100.509605,2022-05-14 22:19:52
65,13.816582,100.509109,2022-05-15 01:39:35
66,13.816875,100.509758,2022-05-15 01:44:14
67,13.816788,100.509651,2022-05-15 01:49:14
68,13.816871,100.509712,2022-05-15 01:54:13
69,13.816823,100.509689,2022-05-15 01:59:12
70,13.816653,100.509529,2022-05-15 02:04:16
71,13.816553,100.50943,2022-05-15 02:09:24
72,13.816539,100.509445,2022-05-15 02:14:22
73,13.816819,100.509537,2022-05-15 02:20:09
74,13.816255,100.508934,2022-05-15 02:24:54
75,13.816809,100.509521,2022-05-15 02:29:18
76,13.816725,100.509399,2022-05-15 02:34:17
77,13.816883,100.509689,2022-05-15 02:39:16
78,13.816926,100.509514,2022-05-15 02:44:17
79,13.817027,100.509476,2022-05-15 02:49:19
80,13.817028,100.509445,2022-05-15 02:54:20
81,13.817043,100.509491,2022-05-15 02:59:21
82,13.817089,100.50946,2022-05-15 03:04:21
83,13.817064,100.509499,2022-05-15 03:09:21
84,13.817064,100.509483,2022-05-15 03:14:21
85,13.817051,100.50943,2022-05-15 03:19:25
86,13.817059,100.509468,2022-05-15 03:24:30
87,13.817047,100.509483,2022-05-15 03:29:30
88,13.817129,100.509399,2022-05-15 03:34:30
89,13.817054,100.509483,2022-05-15 03:39:31
90,13.817129,100.509399,2022-05-15 03:44:33
91,13.817182,100.509354,2022-05-15 03:49:34
92,13.817113,100.509392,2022-05-15 03:54:36
93,13.817203,100.509338,2022-05-15 03:59:35
94,13.817057,100.509491,2022-05-15 04:04:41
95,13.817036,100.509514,2022-05-15 04:09:42
96,13.817027,100.509499,2022-05-15 04:14:46
97,13.817025,100.509476,2022-05-15 04:19:45
98,13.817067,100.509499,2022-05-15 04:24:46
99,13.817038,100.509407,2022-05-15 04:29:45
100,13.817048,100.509407,2022-05-15 04:30:03
101,13.817098,100.509529,2022-05-15 04:35:13
102,13.817078,100.509491,2022-05-15 04:42:28
103,13.817076,100.509491,2022-05-15 04:47:31
104,13.817078,100.509483,2022-05-15 05:14:31
105,13.817059,100.509453,2022-05-15 06:33:37
106,13.817038,100.509422,2022-05-15 07:25:38
107,13.816884,100.509369,2022-05-15 07:30:36
108,13.816907,100.509407,2022-05-15 07:35:40
109,13.817003,100.509453,2022-05-15 07:49:53
110,13.817088,100.509438,2022-05-15 07:54:55
111,13.817022,100.509499,2022-05-15 07:59:55
112,13.816982,100.50956,2022-05-15 08:13:04
113,13.816974,100.509407,2022-05-15 08:18:07
114,13.816956,100.509499,2022-05-15 08:41:30
115,13.816985,100.509445,2022-05-15 08:46:30
116,13.81704,100.509499,2022-05-15 09:04:18
117,13.817037,100.50943,2022-05-15 09:25:24
118,13.816959,100.50946,2022-05-15 09:30:25
119,13.817116,100.509453,2022-05-15 09:35:30
120,13.816992,100.509178,2022-05-15 11:42:45
121,13.816891,100.5093,2022-05-15 12:43:56
122,13.816382,100.509659,2022-05-15 13:46:21
123,13.816336,100.510109,2022-05-15 13:51:28
124,13.816395,100.510101,2022-05-15 13:56:28
125,13.816509,100.510345,2022-05-15 14:01:29
126,13.816462,100.510155,2022-05-15 14:06:29
127,13.816303,100.5103,2022-05-15 14:11:31
128,13.816304,100.511017,2022-05-15 14:16:30
129,13.815993,100.511673,2022-05-15 14:21:39
130,13.816096,100.511543,2022-05-15 14:31:30
131,13.815979,100.511635,2022-05-15 14:36:34
132,13.815888,100.511497,2022-05-15 14:41:34
133,13.815806,100.511467,2022-05-15 14:46:36
134,13.815907,100.511475,2022-05-15 14:51:34
135,13.815863,100.51152,2022-05-15 14:56:36
136,13.815939,100.511421,2022-05-15 15:15:54
137,13.815896,100.511391,2022-05-15 15:20:52
138,13.815903,100.511436,2022-05-15 15:25:45
139,13.815898,100.511429,2022-05-15 15:25:52
140,13.815865,100.511391,2022-05-15 15:30:53
141,13.815948,100.511421,2022-05-15 15:35:53
142,13.815933,100.511421,2022-05-15 15:40:59
143,13.815875,100.511391,2022-05-15 15:46:00
144,13.815906,100.511421,2022-05-15 15:51:01
145,13.81592,100.511398,2022-05-15 15:56:01
146,13.815874,100.511414,2022-05-15 16:01:01
147,13.815884,100.511398,2022-05-15 16:06:03
148,13.815869,100.511398,2022-05-15 16:11:02
149,13.815937,100.511414,2022-05-15 16:16:04
150,13.815898,100.511406,2022-05-15 16:21:03
151,13.815914,100.511406,2022-05-15 16:26:03
152,13.815927,100.511406,2022-05-15 16:31:03
153,13.815875,100.511429,2022-05-15 16:36:06
154,13.815902,100.511421,2022-05-15 16:41:12
155,13.815896,100.511429,2022-05-15 16:46:10
156,13.81591,100.511406,2022-05-15 16:51:10
157,13.815885,100.511475,2022-05-15 16:56:13
