,latitude,longitude,recorded_timestamp
0,13.779375,100.500839,2022-05-14 16:47:37
1,13.780899,100.501541,2022-05-14 16:52:35
2,13.782457,100.50235,2022-05-14 16:57:36
3,13.783872,100.503021,2022-05-14 17:02:36
4,13.785257,100.503845,2022-05-14 17:07:39
5,13.786593,100.504791,2022-05-14 17:12:41
6,13.787886,100.505936,2022-05-14 17:17:41
7,13.789249,100.507278,2022-05-14 17:22:41
8,13.790534,100.508537,2022-05-14 17:27:42
9,13.791724,100.509583,2022-05-14 17:32:42
10,13.792877,100.510597,2022-05-14 17:37:47
11,13.7934,100.511185,2022-05-14 17:42:48
12,13.79411,100.511688,2022-05-14 17:47:47
13,13.794753,100.512138,2022-05-14 17:52:48
14,13.795324,100.512413,2022-05-14 17:57:51
15,13.795737,100.512703,2022-05-14 18:02:50
16,13.796299,100.513046,2022-05-14 18:07:51
17,13.796632,100.513321,2022-05-14 18:12:51
18,13.797111,100.513626,2022-05-14 18:17:51
19,13.797666,100.514023,2022-05-14 18:22:51
20,13.798403,100.514412,2022-05-14 18:27:52
21,13.799059,100.514809,2022-05-14 18:32:53
22,13.799818,100.515144,2022-05-14 18:37:52
23,13.800616,100.51548,2022-05-14 18:42:54
24,13.801364,100.515686,2022-05-14 18:47:53
25,13.80208,100.515892,2022-05-14 18:52:53
26,13.802687,100.516129,2022-05-14 18:57:54
27,13.803275,100.516251,2022-05-14 19:02:55
28,13.803912,100.516335,2022-05-14 19:07:47
29,13.805708,100.516678,2022-05-14 19:23:30
30,13.806201,100.516701,2022-05-14 19:27:57
31,13.806692,100.516678,2022-05-14 19:32:57
32,13.807112,100.516724,2022-05-14 19:37:58
33,13.807471,100.516747,2022-05-14 19:42:57
34,13.807922,100.516716,2022-05-14 19:47:59
35,13.808403,100.516632,2022-05-14 19:52:58
36,13.808932,100.516579,2022-05-14 19:58:02
37,13.809447,100.516502,2022-05-14 20:03:06
38,13.80993,100.516449,2022-05-14 20:08:06
39,13.810404,100.516388,2022-05-14 20:13:07
40,13.810844,100.516289,2022-05-14 20:18:09
41,13.811222,100.516159,2022-05-14 20:23:12
42,13.811586,100.51606,2022-05-14 20:28:13
43,13.811962,100.515884,2022-05-14 20:33:16
44,13.812263,100.51564,2022-05-14 20:38:15
45,13.812521,100.51548,2022-05-14 20:43:16
46,13.81276,100.515343,2022-05-14 20:48:19
47,13.812958,100.515152,2022-05-14 20:53:16
48,13.813186,100.514847,2022-05-14 20:58:20
49,13.813282,100.5149,2022-05-14 21:03:19
50,13.813189,100.514748,2022-05-14 21:08:21
51,13.812046,100.516014,2022-05-14 21:33:22
52,13.811741,100.516289,2022-05-14 21:38:21
53,13.811419,100.516525,2022-05-14 21:43:21
54,13.809325,100.517685,2022-05-14 22:08:22
55,13.808821,100.517899,2022-05-14 22:13:22
56,13.806567,100.518311,2022-05-14 22:29:02
57,13.80577,100.518356,2022-05-14 22:33:24
58,13.805026,100.518364,2022-05-14 22:38:25
59,13.804169,100.51828,2022-05-14 22:43:25
60,13.803293,100.518112,2022-05-14 22:48:25
61,13.802234,100.517853,2022-05-14 22:53:25
62,13.801126,100.51757,2022-05-14 22:58:26
63,13.799986,100.517174,2022-05-14 23:03:27
64,13.798774,100.516609,2022-05-14 23:08:26
65,13.797641,100.51606,2022-05-14 23:13:27
66,13.796416,100.51545,2022-05-14 23:18:27
67,13.795284,100.514702,2022-05-14 23:23:27
68,13.794159,100.513794,2022-05-14 23:28:28
69,13.792996,100.512764,2022-05-14 23:33:28
70,13.791875,100.511673,2022-05-14 23:38:28
71,13.790761,100.510551,2022-05-14 23:43:29
72,13.78958,100.509346,2022-05-14 23:48:33
73,13.788558,100.508186,2022-05-14 23:53:34
74,13.787613,100.50705,2022-05-14 23:58:35
75,13.784405,100.503838,2022-05-15 00:14:00
76,13.783536,100.503082,2022-05-15 00:18:36
77,13.782606,100.50235,2022-05-15 00:23:37
78,13.778779,100.500252,2022-05-15 00:44:00
79,13.7781,100.499931,2022-05-15 00:48:42
80,13.777429,100.499573,2022-05-15 00:53:43
81,13.776845,100.499214,2022-05-15 00:58:42
82,13.776236,100.498955,2022-05-15 01:03:45
83,13.775778,100.498688,2022-05-15 01:08:46
84,13.77563,100.498589,2022-05-15 01:13:46
85,13.775454,100.498482,2022-05-15 01:18:46
86,13.775447,100.498474,2022-05-15 01:23:46
87,13.776231,100.498711,2022-05-15 01:48:50
88,13.776304,100.498795,2022-05-15 01:53:48
89,13.776346,100.498825,2022-05-15 01:58:49
90,13.77635,100.498779,2022-05-15 02:03:52
91,13.776386,100.498848,2022-05-15 02:08:53
92,13.776531,100.498909,2022-05-15 02:13:52
93,13.77671,100.498917,2022-05-15 02:18:55
94,13.776919,100.499054,2022-05-15 02:24:01
95,13.77708,100.499069,2022-05-15 02:28:59
96,13.777222,100.499115,2022-05-15 02:34:06
97,13.77725,100.499039,2022-05-15 02:39:04
98,13.777188,100.499168,2022-05-15 02:44:07
99,13.777145,100.499435,2022-05-15 02:49:12
100,13.777089,100.499741,2022-05-15 02:54:10
101,13.776922,100.500198,2022-05-15 02:59:35
102,13.776864,100.500069,2022-05-15 03:04:26
103,13.777295,100.498947,2022-05-15 03:09:29
