,latitude,longitude,recorded_timestamp
111,13.754518,100.517204,2023-02-03 14:45:01
112,13.754473,100.51722,2023-02-03 14:49:52
113,13.754492,100.517159,2023-02-03 14:54:55
114,13.754563,100.517067,2023-02-03 14:59:55
115,13.754564,100.517136,2023-02-03 15:05:00
116,13.754589,100.517166,2023-02-03 15:10:01
117,13.754627,100.517235,2023-02-03 15:14:58
118,13.754627,100.517235,2023-02-03 15:14:58
119,13.754577,100.517235,2023-02-03 15:19:59
120,13.754622,100.51712,2023-02-03 15:25:02
121,13.754577,100.517281,2023-02-03 15:30:06
122,13.754577,100.517281,2023-02-03 15:30:06
123,13.754585,100.517258,2023-02-03 15:35:02
124,13.754543,100.517212,2023-02-03 15:40:06
125,13.754446,100.517296,2023-02-03 15:45:06
126,13.754535,100.51722,2023-02-03 15:50:06
127,13.754535,100.51722,2023-02-03 15:50:06
128,13.754516,100.517235,2023-02-03 15:55:07
129,13.75435,100.517212,2023-02-03 16:00:07
130,13.754442,100.517311,2023-02-03 16:05:13
131,13.754683,100.517326,2023-02-03 16:11:13
132,13.754409,100.517456,2023-02-03 16:15:48
133,13.754789,100.517387,2023-02-03 16:20:38
134,13.754789,100.517387,2023-02-03 16:20:38
135,13.754374,100.517387,2023-02-03 16:25:34
136,13.752678,100.517471,2023-02-04 05:58:32
137,13.746559,100.516571,2023-02-04 07:28:30
138,13.746559,100.516571,2023-02-04 07:28:30
139,13.744027,100.516014,2023-02-04 08:12:30
140,13.74391,100.516022,2023-02-04 08:17:07
141,13.74391,100.516022,2023-02-04 08:17:07
142,13.743593,100.515984,2023-02-04 08:29:31
143,13.741889,100.515793,2023-02-04 09:15:00
144,13.740779,100.515732,2023-02-04 09:57:00
145,13.733668,100.515648,2023-02-04 13:53:02
146,13.733668,100.515648,2023-02-04 13:53:02
147,13.733012,100.51564,2023-02-04 17:05:32
148,13.733012,100.51564,2023-02-04 17:05:32
149,13.730428,100.514381,2023-02-05 02:33:02
150,13.730428,100.514381,2023-02-05 02:33:02
151,13.730556,100.514328,2023-02-05 16:00:30
152,13.730485,100.514366,2023-02-05 16:05:35
153,13.730595,100.514259,2023-02-05 16:10:42
154,13.730346,100.514267,2023-02-05 16:15:35
155,13.730346,100.514267,2023-02-05 16:15:35
156,13.730346,100.514267,2023-02-05 16:15:35
157,13.730408,100.514145,2023-02-05 16:30:08
158,13.73037,100.514153,2023-02-05 16:34:16
159,13.73037,100.514153,2023-02-05 16:34:16
160,13.73037,100.514153,2023-02-05 16:34:16
