,latitude,longitude,recorded_timestamp
0,13.758986,100.514198,2022-05-14 10:37:04
1,13.758709,100.51445,2022-05-14 10:42:04
2,13.75852,100.514771,2022-05-14 10:44:39
3,13.758242,100.515045,2022-05-14 10:49:39
4,13.757974,100.515305,2022-05-14 10:54:43
5,13.757648,100.515617,2022-05-14 10:59:40
6,13.757409,100.515823,2022-05-14 11:04:47
7,13.756617,100.514862,2022-05-14 11:09:49
8,13.757095,100.516052,2022-05-14 11:13:12
9,13.756996,100.516296,2022-05-14 11:18:07
10,13.756416,100.516365,2022-05-14 11:23:15
11,13.756151,100.516609,2022-05-14 11:28:12
12,13.753969,100.517334,2022-05-14 11:53:19
13,13.753561,100.517365,2022-05-14 11:58:19
14,13.753242,100.517296,2022-05-14 12:03:20
15,13.753068,100.517509,2022-05-14 12:08:18
16,13.752994,100.517517,2022-05-14 12:13:21
17,13.753106,100.518005,2022-05-14 12:18:23
18,13.75273,100.518387,2022-05-14 12:23:30
19,13.752681,100.518723,2022-05-14 12:28:27
20,13.752553,100.519417,2022-05-14 12:33:30
21,13.752417,100.519875,2022-05-14 12:38:34
22,13.752246,100.520103,2022-05-14 12:43:34
23,13.752316,100.520378,2022-05-14 12:48:40
24,13.751944,100.520622,2022-05-14 12:53:39
25,13.751903,100.520897,2022-05-14 12:58:44
26,13.751703,100.521255,2022-05-14 13:03:42
27,13.751315,100.522217,2022-05-14 13:40:10
28,13.750963,100.522392,2022-05-14 13:43:42
29,13.750791,100.522682,2022-05-14 13:48:44
30,13.750577,100.523041,2022-05-14 13:53:45
31,13.750351,100.523361,2022-05-14 13:58:43
32,13.75005,100.523827,2022-05-14 14:03:48
33,13.749881,100.524376,2022-05-14 14:08:47
34,13.749318,100.524956,2022-05-14 14:13:48
35,13.748663,100.525108,2022-05-14 14:19:09
36,13.749148,100.525208,2022-05-14 14:23:56
37,13.749203,100.525406,2022-05-14 14:28:56
38,13.749731,100.525215,2022-05-14 14:33:57
39,13.752179,100.520477,2022-05-14 14:39:00
40,13.749757,100.525108,2022-05-14 14:44:03
41,13.748482,100.54673,2022-05-14 15:10:12
42,13.7486,100.546463,2022-05-14 15:14:30
43,13.748369,100.546387,2022-05-14 15:19:29
44,13.74835,100.546326,2022-05-14 15:24:32
45,13.748256,100.546227,2022-05-14 15:42:54
46,13.748309,100.546318,2022-05-14 15:47:48
47,13.748258,100.546249,2022-05-14 15:50:36
48,13.74842,100.546295,2022-05-14 15:55:37
49,13.748219,100.546341,2022-05-14 16:09:02
50,13.748348,100.546432,2022-05-14 16:20:20
51,13.748084,100.545944,2022-05-14 16:36:19
52,13.748024,100.546234,2022-05-14 16:47:02
53,13.748121,100.546364,2022-05-14 16:51:45
54,13.748124,100.546333,2022-05-14 17:08:47
55,13.747833,100.546234,2022-05-14 17:18:09
56,13.748046,100.546661,2022-05-14 17:22:49
57,13.748155,100.546272,2022-05-14 17:39:39
58,13.748179,100.546333,2022-05-14 17:48:24
59,13.748218,100.546211,2022-05-14 18:07:23
60,13.74834,100.545937,2022-05-14 18:12:13
61,13.748242,100.546196,2022-05-14 18:17:04
62,13.748249,100.546265,2022-05-14 18:36:38
63,13.748258,100.546288,2022-05-14 18:41:23
64,13.748295,100.546204,2022-05-14 18:48:54
65,13.748252,100.54628,2022-05-14 18:53:49
66,13.74836,100.546318,2022-05-14 19:06:39
67,13.748516,100.546463,2022-05-14 19:11:40
68,13.74828,100.546356,2022-05-14 19:18:50
69,13.748507,100.546349,2022-05-14 19:28:13
70,13.748191,100.546326,2022-05-14 19:33:21
71,13.748102,100.546318,2022-05-15 10:00:40
72,13.748377,100.546417,2022-05-15 10:04:42
73,13.74883,100.542755,2022-05-15 10:09:58
74,13.74934,100.540619,2022-05-15 10:14:42
75,13.748198,100.536179,2022-05-15 10:24:44
76,13.748115,100.536064,2022-05-15 10:30:14
77,13.748889,100.536385,2022-05-15 10:42:04
78,13.748808,100.536331,2022-05-15 10:47:29
79,13.747827,100.546005,2022-05-15 11:45:59
80,13.748271,100.546867,2022-05-15 11:59:39
81,13.748211,100.546295,2022-05-15 13:13:18
82,13.748294,100.546394,2022-05-15 18:10:38
83,13.748699,100.546379,2022-05-15 18:15:26
84,13.748036,100.546204,2022-05-15 18:20:30
85,13.748032,100.54567,2022-05-15 18:25:39
86,13.747402,100.546326,2022-05-15 18:31:04
87,13.747409,100.546326,2022-05-15 18:31:10
88,13.747662,100.546524,2022-05-15 18:58:10
89,13.748021,100.546158,2022-05-15 19:30:27
90,13.747831,100.54776,2022-05-17 11:56:54
91,13.747902,100.546227,2022-05-18 09:45:46
92,13.747968,100.544678,2022-05-18 09:52:58
