,latitude,longitude,recorded_timestamp
0,13.776916,100.470016,2022-10-11 09:19:01
1,13.777201,100.469933,2022-10-11 09:23:26
2,13.778032,100.46946,2022-10-11 09:43:41
3,13.778155,100.469368,2022-10-11 09:48:37
4,13.778204,100.469284,2022-10-11 09:53:38
5,13.778155,100.469193,2022-10-11 09:58:38
6,13.778109,100.469193,2022-10-11 10:03:31
7,13.777548,100.469604,2022-10-11 10:19:00
8,13.77721,100.469788,2022-10-11 10:23:32
9,13.775137,100.470444,2022-10-11 10:43:48
10,13.775142,100.470436,2022-10-11 10:48:34
11,13.775159,100.47049,2022-10-11 11:04:02
12,13.775116,100.470436,2022-10-11 11:08:36
13,13.775476,100.470398,2022-10-11 11:24:34
14,13.775536,100.470589,2022-10-11 11:49:02
15,13.775102,100.470383,2022-10-11 11:53:45
16,13.775083,100.470406,2022-10-11 12:09:32
17,13.775019,100.470367,2022-10-11 12:13:53
18,13.775003,100.470451,2022-10-11 12:18:44
19,13.772947,100.471077,2022-10-11 12:34:29
20,13.77196,100.471298,2022-10-11 12:38:45
21,13.767685,100.473572,2022-10-11 12:58:58
22,13.766582,100.474319,2022-10-11 13:03:53
23,13.765658,100.475052,2022-10-11 13:08:56
24,13.764958,100.47599,2022-10-11 13:13:48
25,13.762092,100.479912,2022-10-11 13:29:31
26,13.761598,100.481155,2022-10-11 13:33:55
27,13.761064,100.482437,2022-10-11 13:54:31
28,13.761071,100.482422,2022-10-11 13:58:59
29,13.761069,100.482422,2022-10-11 13:59:02
30,13.761036,100.48243,2022-10-11 14:03:59
31,13.761045,100.482437,2022-10-11 14:08:59
32,13.761063,100.482445,2022-10-11 14:34:01
33,13.761056,100.48243,2022-10-11 14:38:37
34,13.761059,100.48243,2022-10-11 14:39:38
35,13.761062,100.48243,2022-10-11 14:44:21
36,13.761068,100.482452,2022-10-11 15:00:30
37,13.761086,100.482452,2022-10-11 15:13:00
38,13.761091,100.482468,2022-10-11 15:17:35
39,13.761067,100.482445,2022-10-11 15:34:32
40,13.761079,100.48243,2022-10-11 15:39:09
41,13.761078,100.482422,2022-10-11 15:43:38
42,13.761053,100.482437,2022-10-11 16:07:00
43,13.761069,100.482445,2022-10-11 16:08:38
44,13.761069,100.482445,2022-10-11 16:08:40
45,13.761061,100.482414,2022-10-11 16:33:01
46,13.761073,100.48243,2022-10-11 16:34:29
47,13.761079,100.48243,2022-10-11 16:36:28
48,13.761078,100.482445,2022-10-11 16:38:26
49,13.761068,100.482437,2022-10-11 16:40:31
50,13.761072,100.482437,2022-10-11 16:42:27
51,13.761082,100.482452,2022-10-11 16:44:27
52,13.761085,100.482422,2022-10-11 16:46:27
53,13.761087,100.482422,2022-10-11 16:48:26
54,13.761093,100.482422,2022-10-11 16:52:27
55,13.761098,100.482414,2022-10-11 16:54:26
56,13.761109,100.482368,2022-10-11 16:56:26
57,13.761111,100.482391,2022-10-11 16:58:26
58,13.761117,100.482391,2022-10-11 17:00:27
59,13.761111,100.482407,2022-10-11 17:02:26
60,13.761111,100.482407,2022-10-11 17:04:26
61,13.761122,100.482399,2022-10-11 17:06:26
62,13.761111,100.482414,2022-10-11 17:08:29
63,13.761101,100.482384,2022-10-11 17:10:26
64,13.761096,100.482346,2022-10-11 17:12:27
65,13.761095,100.482353,2022-10-11 17:14:28
66,13.761102,100.482277,2022-10-11 17:16:28
67,13.761109,100.482201,2022-10-11 17:18:28
68,13.761142,100.482224,2022-10-11 17:20:34
69,13.761138,100.482178,2022-10-11 17:22:31
70,13.761094,100.48204,2022-10-11 17:26:28
71,13.761068,100.481812,2022-10-11 17:28:28
72,13.761204,100.481735,2022-10-11 17:30:30
73,13.761127,100.481712,2022-10-11 17:32:28
74,13.761114,100.481674,2022-10-11 17:34:29
75,13.76111,100.481644,2022-10-11 17:36:29
76,13.761116,100.481613,2022-10-11 17:38:31
77,13.761075,100.481468,2022-10-11 17:40:29
78,13.761172,100.481522,2022-10-11 17:42:36
79,13.761152,100.481529,2022-10-11 17:44:32
80,13.761172,100.48159,2022-10-11 17:46:33
81,13.761133,100.481529,2022-10-11 17:48:33
82,13.761132,100.481491,2022-10-11 17:50:31
83,13.761153,100.481537,2022-10-11 17:52:30
84,13.761178,100.48156,2022-10-11 17:54:32
85,13.761146,100.481529,2022-10-11 17:56:32
86,13.761132,100.481537,2022-10-11 17:58:31
87,13.761092,100.481491,2022-10-11 18:00:31
88,13.761125,100.481544,2022-10-11 18:02:30
89,13.761083,100.481499,2022-10-11 18:04:30
90,13.761109,100.481491,2022-10-11 18:06:30
91,13.761102,100.481506,2022-10-11 18:08:33
92,13.761113,100.481506,2022-10-11 18:10:32
93,13.761157,100.481544,2022-10-11 18:12:32
94,13.761133,100.481544,2022-10-11 18:14:34
95,13.761097,100.481468,2022-10-11 18:16:32
96,13.76117,100.481583,2022-10-11 18:33:03
97,13.761168,100.481529,2022-10-11 18:34:41
