,latitude,longitude,recorded_timestamp
0,13.763992,100.493713,2022-10-11 11:26:36
1,13.761434,100.491348,2022-10-11 11:31:13
2,13.745768,100.488777,2022-10-11 11:52:00
3,13.743221,100.490944,2022-10-11 11:56:15
4,13.736628,100.505173,2022-10-11 12:16:35
5,13.735914,100.507385,2022-10-11 12:21:16
6,13.732087,100.511406,2022-10-11 12:28:27
7,13.728464,100.512772,2022-10-11 12:32:58
8,13.724122,100.513062,2022-10-11 12:37:52
9,13.719603,100.512459,2022-10-11 12:42:58
10,13.71601,100.51123,2022-10-11 12:48:01
11,13.712611,100.509499,2022-10-11 12:53:02
12,13.710551,100.508057,2022-10-11 12:57:59
13,13.710667,100.508057,2022-10-11 13:03:09
14,13.710521,100.508011,2022-10-11 13:08:12
15,13.710563,100.508034,2022-10-11 13:13:03
16,13.710605,100.508018,2022-10-11 13:18:08
17,13.710193,100.507683,2022-10-11 13:23:04
18,13.709689,100.507301,2022-10-11 13:28:09
19,13.709235,100.506691,2022-10-11 13:33:03
20,13.709135,100.506645,2022-10-11 13:38:09
21,13.709139,100.506638,2022-10-11 13:43:03
22,13.709168,100.50663,2022-10-11 13:49:01
23,13.70917,100.506638,2022-10-11 13:50:41
24,13.709139,100.506645,2022-10-11 13:51:40
25,13.708229,100.505394,2022-10-11 20:20:59
26,13.70755,100.504623,2022-10-11 20:25:00
27,13.707277,100.50441,2022-10-11 20:26:00
28,13.705512,100.501656,2022-10-11 20:32:30
29,13.705007,100.500893,2022-10-11 20:34:01
30,13.704434,100.499794,2022-10-11 20:36:02
31,13.703887,100.498718,2022-10-11 20:38:01
32,13.703318,100.497574,2022-10-11 20:40:00
33,13.702746,100.496429,2022-10-11 20:42:00
34,13.70219,100.495338,2022-10-11 20:44:01
35,13.701581,100.494301,2022-10-11 20:46:02
36,13.701056,100.493225,2022-10-11 20:48:01
37,13.700221,100.492142,2022-10-11 20:50:18
38,13.69926,100.49128,2022-10-11 20:52:22
39,13.698362,100.490692,2022-10-11 20:54:19
40,13.697375,100.490356,2022-10-11 20:56:19
41,13.696186,100.490166,2022-10-11 20:58:18
42,13.694881,100.490204,2022-10-11 21:00:19
43,13.693732,100.490433,2022-10-11 21:02:19
44,13.692554,100.490677,2022-10-11 21:04:18
45,13.691355,100.491203,2022-10-11 21:06:19
46,13.6903,100.492088,2022-10-11 21:08:19
47,13.689373,100.493088,2022-10-11 21:10:18
48,13.688577,100.494141,2022-10-11 21:12:18
49,13.687907,100.495316,2022-10-11 21:14:17
50,13.687189,100.496452,2022-10-11 21:16:18
51,13.686579,100.497795,2022-10-11 21:18:18
52,13.685989,100.499176,2022-10-11 21:20:19
53,13.685568,100.500618,2022-10-11 21:22:18
54,13.685324,100.502052,2022-10-11 21:24:17
55,13.685078,100.503624,2022-10-11 21:26:17
56,13.684829,100.50515,2022-10-11 21:28:17
57,13.684701,100.506638,2022-10-11 21:30:17
58,13.684541,100.508217,2022-10-11 21:32:19
59,13.684402,100.50975,2022-10-11 21:34:18
60,13.684196,100.511307,2022-10-11 21:36:19
61,13.683872,100.512833,2022-10-11 21:38:19
62,13.68356,100.514297,2022-10-11 21:40:19
63,13.683161,100.515671,2022-10-11 21:42:19
64,13.682763,100.516937,2022-10-11 21:44:19
65,13.682276,100.518265,2022-10-11 21:46:20
66,13.681729,100.519379,2022-10-11 21:48:19
67,13.681171,100.520447,2022-10-11 21:50:19
68,13.680611,100.521492,2022-10-11 21:52:19
69,13.679986,100.522491,2022-10-11 21:54:19
70,13.679322,100.523399,2022-10-11 21:56:19
71,13.678597,100.524323,2022-10-11 21:58:19
72,13.677779,100.5252,2022-10-11 22:00:19
73,13.676884,100.526138,2022-10-11 22:02:19
74,13.675917,100.527092,2022-10-11 22:04:19
75,13.674987,100.528069,2022-10-11 22:06:19
76,13.673993,100.52906,2022-10-11 22:08:18
77,13.673046,100.530235,2022-10-11 22:10:19
78,13.672114,100.531479,2022-10-11 22:12:19
79,13.671248,100.532761,2022-10-11 22:14:19
